판매일자,집계시간,판매매장명,품목카테고리,품목명,판매단위,단위가격,판매수량,판매금액
2026-09-15,09:00,완주로컬푸드 모악산점,과채류,구이 친환경 딸기,500g/팩,13200,6,79200
2026-09-15,09:00,완주로컬푸드 모악산점,근채류,완주 생강,1kg/봉,10450,22,229900
2026-09-15,09:00,완주로컬푸드 모악산점,과수류,이서 황금배,5kg/상자,30400,21,638400
2026-09-15,09:00,완주로컬푸드 모악산점,과채류,삼례 싱싱토마토,2kg/상자,16000,24,384000
2026-09-15,09:00,완주로컬푸드 모악산점,근채류,봉동 당근,1단/묶음,4950,24,118800
2026-09-15,09:00,완주로컬푸드 모악산점,버섯류,모악산 참표고버섯,1kg/상자,22000,24,528000
2026-09-15,09:00,완주로컬푸드 모악산점,서류,완주 햇고구마,3kg/상자,14250,16,228000
2026-09-15,09:00,완주로컬푸드 모악산점,가공식품,봉동 생강한과 세트,1세트,33250,10,332500
2026-09-15,09:00,완주로컬푸드 모악산점,곡류,용진 친환경 쌀,10kg/포,39900,7,279300
2026-09-15,09:00,완주로컬푸드 모악산점,가공식품,완주 곶감 세트,1세트,39900,29,1157100
2026-09-15,09:00,완주로컬푸드 모악산점,엽채류,고산 부추,1단/묶음,3300,11,36300
2026-09-15,09:00,완주로컬푸드 모악산점,축산물,비봉 유정란,15구/판,6825,19,129675
2026-09-15,09:00,완주로컬푸드 혁신점,과채류,구이 친환경 딸기,500g/팩,12600,24,302400
2026-09-15,09:00,완주로컬푸드 혁신점,근채류,완주 생강,1kg/봉,10450,9,94050
2026-09-15,09:00,완주로컬푸드 혁신점,과수류,이서 황금배,5kg/상자,35200,8,281600
2026-09-15,09:00,완주로컬푸드 혁신점,과채류,삼례 싱싱토마토,2kg/상자,16000,11,176000
2026-09-15,09:00,완주로컬푸드 혁신점,근채류,봉동 당근,1단/묶음,4950,20,99000
2026-09-15,09:00,완주로컬푸드 혁신점,버섯류,모악산 참표고버섯,1kg/상자,22000,17,374000
2026-09-15,09:00,완주로컬푸드 혁신점,서류,완주 햇고구마,3kg/상자,14250,19,270750
2026-09-15,09:00,완주로컬푸드 혁신점,가공식품,봉동 생강한과 세트,1세트,38500,13,500500
2026-09-15,09:00,완주로컬푸드 혁신점,곡류,용진 친환경 쌀,10kg/포,38000,10,380000
