판매일자,집계시간,판매매장명,품목카테고리,품목명,판매단위,단위가격,판매수량,판매금액
2026-09-15,17:00,완주로컬푸드 모악산점,과채류,구이 친환경 딸기,500g/팩,11400,119,1356600
2026-09-15,17:00,완주로컬푸드 모악산점,근채류,완주 생강,1kg/봉,10450,103,1076350
2026-09-15,17:00,완주로컬푸드 모악산점,과수류,이서 황금배,5kg/상자,32000,159,5088000
2026-09-15,17:00,완주로컬푸드 모악산점,과채류,삼례 싱싱토마토,2kg/상자,17600,232,4083200
2026-09-15,17:00,완주로컬푸드 모악산점,근채류,봉동 당근,1단/묶음,4275,88,376200
2026-09-15,17:00,완주로컬푸드 모악산점,버섯류,모악산 참표고버섯,1kg/상자,20900,67,1400300
2026-09-15,17:00,완주로컬푸드 모악산점,서류,완주 햇고구마,3kg/상자,15000,152,2280000
2026-09-15,17:00,완주로컬푸드 모악산점,가공식품,봉동 생강한과 세트,1세트,33250,56,1862000
2026-09-15,17:00,완주로컬푸드 모악산점,곡류,용진 친환경 쌀,10kg/포,38000,120,4560000
2026-09-15,17:00,완주로컬푸드 모악산점,가공식품,완주 곶감 세트,1세트,42000,226,9492000
2026-09-15,17:00,완주로컬푸드 모악산점,엽채류,고산 부추,1단/묶음,2850,54,153900
2026-09-15,17:00,완주로컬푸드 모악산점,축산물,비봉 유정란,15구/판,6500,93,604500
2026-09-15,17:00,완주로컬푸드 혁신점,과채류,구이 친환경 딸기,500g/팩,12000,204,2448000
2026-09-15,17:00,완주로컬푸드 혁신점,근채류,완주 생강,1kg/봉,9500,201,1909500
2026-09-15,17:00,완주로컬푸드 혁신점,과수류,이서 황금배,5kg/상자,32000,73,2336000
2026-09-15,17:00,완주로컬푸드 혁신점,과채류,삼례 싱싱토마토,2kg/상자,16800,142,2385600
2026-09-15,17:00,완주로컬푸드 혁신점,근채류,봉동 당근,1단/묶음,4275,172,735300
2026-09-15,17:00,완주로컬푸드 혁신점,버섯류,모악산 참표고버섯,1kg/상자,22000,96,2112000
2026-09-15,17:00,완주로컬푸드 혁신점,서류,완주 햇고구마,3kg/상자,15000,169,2535000
2026-09-15,17:00,완주로컬푸드 혁신점,가공식품,봉동 생강한과 세트,1세트,36750,129,4740750
2026-09-15,17:00,완주로컬푸드 혁신점,곡류,용진 친환경 쌀,10kg/포,38000,198,7524000
2026-09-15,17:00,완주로컬푸드 혁신점,가공식품,완주 곶감 세트,1세트,44100,160,7056000
2026-09-15,17:00,완주로컬푸드 혁신점,엽채류,고산 부추,1단/묶음,2850,128,364800
2026-09-15,17:00,완주로컬푸드 혁신점,축산물,비봉 유정란,15구/판,6825,181,1235325
2026-09-15,17:00,완주로컬푸드 해전점,과채류,구이 친환경 딸기,500g/팩,12000,168,2016000
2026-09-15,17:00,완주로컬푸드 해전점,근채류,완주 생강,1kg/봉,9500,134,1273000
2026-09-15,17:00,완주로컬푸드 해전점,과수류,이서 황금배,5kg/상자,32000,141,4512000
2026-09-15,17:00,완주로컬푸드 해전점,과채류,삼례 싱싱토마토,2kg/상자,15200,105,1596000
2026-09-15,17:00,완주로컬푸드 해전점,근채류,봉동 당근,1단/묶음,4725,156,737100
2026-09-15,17:00,완주로컬푸드 해전점,버섯류,모악산 참표고버섯,1kg/상자,20900,56,1170400
2026-09-15,17:00,완주로컬푸드 해전점,서류,완주 햇고구마,3kg/상자,15750,195,3071250
2026-09-15,17:00,완주로컬푸드 해전점,가공식품,봉동 생강한과 세트,1세트,33250,115,3823750
2026-09-15,17:00,완주로컬푸드 해전점,곡류,용진 친환경 쌀,10kg/포,38000,138,5244000
2026-09-15,17:00,완주로컬푸드 해전점,가공식품,완주 곶감 세트,1세트,42000,210,8820000
2026-09-15,17:00,완주로컬푸드 해전점,엽채류,고산 부추,1단/묶음,2850,101,287850
2026-09-15,17:00,완주로컬푸드 해전점,축산물,비봉 유정란,15구/판,6500,85,552500
2026-09-15,17:00,완주로컬푸드 삼례점,과채류,구이 친환경 딸기,500g/팩,12000,39,468000
2026-09-15,17:00,완주로컬푸드 삼례점,근채류,완주 생강,1kg/봉,9975,122,1216950
2026-09-15,17:00,완주로컬푸드 삼례점,과수류,이서 황금배,5kg/상자,32000,88,2816000
2026-09-15,17:00,완주로컬푸드 삼례점,과채류,삼례 싱싱토마토,2kg/상자,16000,166,2656000
2026-09-15,17:00,완주로컬푸드 삼례점,근채류,봉동 당근,1단/묶음,4500,98,441000
2026-09-15,17:00,완주로컬푸드 삼례점,버섯류,모악산 참표고버섯,1kg/상자,22000,74,1628000
2026-09-15,17:00,완주로컬푸드 삼례점,서류,완주 햇고구마,3kg/상자,15000,137,2055000
2026-09-15,17:00,완주로컬푸드 삼례점,가공식품,봉동 생강한과 세트,1세트,35000,81,2835000
2026-09-15,17:00,완주로컬푸드 삼례점,곡류,용진 친환경 쌀,10kg/포,36100,95,3429500
2026-09-15,17:00,완주로컬푸드 삼례점,가공식품,완주 곶감 세트,1세트,42000,177,7434000
2026-09-15,17:00,완주로컬푸드 삼례점,엽채류,고산 부추,1단/묶음,3000,58,174000
2026-09-15,17:00,완주로컬푸드 삼례점,축산물,비봉 유정란,15구/판,6825,111,757575
2026-09-15,17:00,완주로컬푸드 둔산점,과채류,구이 친환경 딸기,500g/팩,12000,149,1788000
2026-09-15,17:00,완주로컬푸드 둔산점,근채류,완주 생강,1kg/봉,10450,72,752400
2026-09-15,17:00,완주로컬푸드 둔산점,과수류,이서 황금배,5kg/상자,33600,37,1243200
2026-09-15,17:00,완주로컬푸드 둔산점,과채류,삼례 싱싱토마토,2kg/상자,16000,39,624000
2026-09-15,17:00,완주로컬푸드 둔산점,근채류,봉동 당근,1단/묶음,4500,53,238500
2026-09-15,17:00,완주로컬푸드 둔산점,버섯류,모악산 참표고버섯,1kg/상자,24200,63,1524600
2026-09-15,17:00,완주로컬푸드 둔산점,서류,완주 햇고구마,3kg/상자,15000,102,1530000
2026-09-15,17:00,완주로컬푸드 둔산점,가공식품,봉동 생강한과 세트,1세트,35000,106,3710000
2026-09-15,17:00,완주로컬푸드 둔산점,곡류,용진 친환경 쌀,10kg/포,38000,86,3268000
2026-09-15,17:00,완주로컬푸드 둔산점,가공식품,완주 곶감 세트,1세트,46200,68,3141600
2026-09-15,17:00,완주로컬푸드 둔산점,엽채류,고산 부추,1단/묶음,3000,54,162000
2026-09-15,17:00,완주로컬푸드 둔산점,축산물,비봉 유정란,15구/판,6500,39,253500
2026-09-15,17:00,완주로컬푸드 용진점,과채류,구이 친환경 딸기,500g/팩,11400,57,649800
2026-09-15,17:00,완주로컬푸드 용진점,근채류,완주 생강,1kg/봉,9025,48,433200
2026-09-15,17:00,완주로컬푸드 용진점,과수류,이서 황금배,5kg/상자,33600,60,2016000
2026-09-15,17:00,완주로컬푸드 용진점,과채류,삼례 싱싱토마토,2kg/상자,16800,65,1092000
2026-09-15,17:00,완주로컬푸드 용진점,근채류,봉동 당근,1단/묶음,4500,109,490500
2026-09-15,17:00,완주로컬푸드 용진점,버섯류,모악산 참표고버섯,1kg/상자,22000,94,2068000
2026-09-15,17:00,완주로컬푸드 용진점,서류,완주 햇고구마,3kg/상자,15000,98,1470000
2026-09-15,17:00,완주로컬푸드 용진점,가공식품,봉동 생강한과 세트,1세트,35000,138,4830000
2026-09-15,17:00,완주로컬푸드 용진점,곡류,용진 친환경 쌀,10kg/포,38000,141,5358000
2026-09-15,17:00,완주로컬푸드 용진점,가공식품,완주 곶감 세트,1세트,46200,103,4758600
2026-09-15,17:00,완주로컬푸드 용진점,엽채류,고산 부추,1단/묶음,3150,113,355950
2026-09-15,17:00,완주로컬푸드 용진점,축산물,비봉 유정란,15구/판,6500,47,305500
